States,Regions,latitude,longitude,Dates,Usage
Rajasthan,NR,26.44999921,74.63998124,15/01/2019,185.4
Delhi,NR,28.6699929,77.23000403,15/01/2019,77.8
UP,NR,27.59998069,78.05000565,15/01/2019,326.7
Uttarakhand,NR,30.32040895,78.05000565,15/01/2019,34.3
HP,NR,31.10002545,77.16659704,15/01/2019,25.6
J&K,NR,33.45,76.24,15/01/2019,39.5
Chandigarh,NR,30.71999697,76.78000565,15/01/2019,3.2
Chhattisgarh,WR,22.09042035,82.15998734,15/01/2019,88
Gujarat,WR,22.2587,71.1924,15/01/2019,290.5
MP,WR,21.30039105,76.13001949,15/01/2019,170.2
